"Product.Name","Date.Issued.Updated","Link"
"0.25 Percent Bupivacaine Hydrochloride Injection, USP by Hospira: Recall - Particulate Matter",2016-08-05,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm515233.htm"
"50 Percent Magnesium Sulfate Injection, USP by Hospira: Recall - Presence Of Particulate Matter",2016-04-14,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm496149.htm"
"5 Percent Dextrose Injection USP in PAB Container by B. Braun Medical: Recall - Leakage and/or Particulate Matter",2016-03-29,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm493059.htm"
"0.9 Percent Sodium Chloride Solution for Irrigation by Baxter: Recall - Presence of Particulate Matter",2016-02-18,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm486748.htm"
"Amikacin Sulfate Injection USP 500 mg/2 mL (250 mg/mL) and 1 Gram/4 mL (250 mg/mL) Vials by Teva: Recall - Glass Particulate Matter",2016-08-03,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm514678.htm"
"Amikacin Sulfate Injection USP, 1 gram/4mL (250 mg/mL) Vials by Teva: Recall - Glass Particulate Matter",2016-03-10,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm490119.htm"
"Aripiprazole (Abilify, Abilify Maintena, Aristada): Drug Safety Communication - FDA Warns About New Impulse-control Problems",2016-05-03,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm498823.htm"
"Baxter IV Solutions (Select Lots): Recall - Potential for Leaking Containers and Particulate Matter",2016-01-27,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm483215.htm"
"Baxter IV Solutions: Recall - Potential Presence of Particulate Matter",2016-01-05,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm479948.htm"
"BiCNU (carmustine for injection): FDA Alert - Counterfeit Product Discovered in Some Foreign Countries",2016-05-13,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm500910.htm"
"Brintellix (vortioxetine): Drug Safety Communication - Brand Name Change to Trintellix, to Avoid Confusion With Antiplatelet Drug Brilinta (ticagrelor)",2016-05-02,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm498607.htm"
"Canagliflozin (Invokana, Invokamet): Drug Safety Communication - Clinical Trial Results Find Increased Risk of Leg and Foot Amputations",2016-05-18,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm501565.htm"
"Canagliflozin (Invokana, Invokamet) and Dapagliflozin (Farxiga, Xigduo XR): Drug Safety Communication -  Strengthened Kidney Warnings",2016-06-14,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm506554.htm"
"Cetylev (acetylcysteine) Effervescent Tablets for Oral Solution by Arbor Pharmaceuticals: Recall - Inadequate Seal of Blister Pack",2016-08-18,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm517287.htm"
"Chantix (varenicline) and Zyban (bupropion): Drug Safety Communication - Mental Health Side Effects Revised",2016-12-16,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm533517.htm"
"Children's Guaifenesin Grape Liquid and Guaifenesin DM Cherry Liquid by Perrigo Company: Recall - Potential Defect with Dosage Cup",2016-01-13,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm481563.htm"
"Diabetes Medications Containing Saxagliptin and Alogliptin: Drug Safety Communication - Risk of Heart Failure",2016-04-05,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm494252.htm"
"Direct-Acting Antivirals for Hepatitis C: Drug Safety Communication - Risk of Hepatitis B Reactivating",2016-10-04,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm523690.htm"
"Family Care Eye Wash by United Exchange Corp: Recall - Microbial Contamination",2016-09-08,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm519602.htm"
"Fluoroquinolone Antibacterial Drugs for Systemic Use: Drug Safety Communication - Warnings Updated Due to Disabling Side Effects",2016-07-26,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm513065.htm"
"Fluoroquinolone Antibacterial Drugs: Drug Safety Communication - FDA Advises Restricting Use for Certain Uncomplicated Infections",2016-05-12,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm500665.htm"
"Eye Wash/Eye Irrigating Solutions Distributed by Major Pharmaceuticals and Rugby Laboratories: Recall - Microbial Contamination",2016-09-07,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm519570.htm"
"Eye Drops: FDA Statement - Potential Risk of Loose Safety Seals",2016-03-15,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm490862.htm"
"Eyesaline Eyewash by Honeywell: Recall - Microbial Contamination",2016-08-22,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm517484.htm"
"Fluconazole (Diflucan): Drug Safety Communication - FDA Evaluating Study Examining Use of Oral Fluconazole (Diflucan) in Pregnancy",2016-04-26,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm497656.htm"
"Fluconazole Injection, USP, (in 0.9 Percent Sodium Chloride) 200mg per 100ml: Recall - Elevated Impurity",2016-03-05,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm489316.htm"
"General Anesthetic and Sedation Drugs: Drug Safety Communication - New Warnings for Young Children and Pregnant Women",2016-12-14,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm533195.htm"
"GlucaGen HypoKit (glucagon [rDNA origin] for injection) by Novo Nordisk Inc: Recall - Detached Needles on Syringe",2016-09-09,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm519907.htm"
"HCG and Sermorelin by Talon Compounding Pharmacy: Recall - Lack of Sterility Assurance",2016-07-22,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm512729.htm"
"Human and Animal Sterile Drug Products by I.V. Specialty: FDA Alert - Lack of Sterility Assurance",2016-03-09,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm489958.htm"
"Hyoscyamine Sulfate 0.125mg by Virtus Pharmaceuticals: Recall -  Superpotent and Subpotent Test Results",2016-09-15,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm520868.htm"
"Lamotrigine Orally Disintegrating Tablet 200 mg by Impax: Recall - Incorrect Labeling of Blister Cards",2016-08-29,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm518486.htm"
"Licorice Coughing Liquid OTC Cough Syrup by Ma Ying Long Pharmaceutical Group: CDER Alert - Contains Unidentified Morphine",2016-01-16,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm482100.htm"
"Loperamide (Imodium): Drug Safety Communication - Serious Heart Problems With High Doses From Abuse and Misuse",2016-06-07,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm505303.htm"
"Magnesium Sulfate in Water for Injection by Hospira: Recall - Incorrect Barcode Labeling on the Primary Container",2016-01-06,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm480224.htm"
"Metformin-containing Drugs: Drug Safety Communication - Revised Warnings for Certain Patients With Reduced Kidney Function",2016-04-08,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm494829.htm"
"Morphine Sulfate 0.5 mg/mL Preservative Free in 0.9 percent Sodium Chloride by Pharmakon Pharmaceuticals: Recall - Super-potent Product",2016-02-17,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm486431.htm"
"Noxafil (posaconazole): Drug Safety Communication - Dosing Errors when Switching between Different Oral Formulations; Label Changes Approved",2016-01-04,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm479782.htm"
"Olanzapine: Drug Safety Communication - FDA Warns About Rare But Serious Skin Reactions",2016-05-10,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm500123.htm"
"Opioid Pain or Cough Medicines Combined With Benzodiazepines: Drug Safety Communication - FDA Requiring Boxed Warning About Serious Risks and Death",2016-08-31,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm518710.htm"
"Opioid Pain Medicines: Drug Safety Communication - New Safety Warnings Added to Prescription Opioid Medications",2016-03-22,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm491715.htm"
"Oral Liquid Docusate Sodium by PharmaTech : Recall -  Contaminated with B. Cepacia",2016-07-16,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm511528.htm"
"Over-the-Counter Antacid Products Containing Aspirin: FDA Drug Safety Communication - Serious Bleeding Risk",2016-06-06,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm505190.htm"
"Oxacillin for Injection, USP, 10g by Sagent: Recall - Iron Oxide Particulate Matter",2016-08-19,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm517409.htm"
"Liquid Drug and Dietary Supplement Products by PharmaTech: Recall - Risk of Product Contamination",2016-08-09,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm515625.htm"
"PharMEDium Sterile Preparations Compounded With a Single Recalled Lot of Fresenius Kabi Sensorcaine-MPF (bupivacaine HCl): Recall - Presence of Glass Particulate Matter",2016-05-09,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm499794.htm"
"Pioglitazone-containing Medicines: Drug Safety Communication - Updated FDA Review, Increased Risk of Bladder Cancer",2016-12-12,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm532772.htm"
"Compounded Products by Reliable Drug Pharmacy: Recall - Potential for Mislabeling and Lack of Quality Assurance",2016-03-28,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm492677.htm"
"Sensorcaine-MPF (bupivacaine HCl) by Fresenius Kabi: Recall - Presence of Particulate Matter",2016-04-26,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm497828.htm"
"Sodium Bicarbonate Injection, USP by Hospira: Recall - Particulate Matter",2016-03-21,"http://wayback.archive-it.org/7993/20170110235424/http://www.fda.gov/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/ucm491506.htm"
