"content","date","Type_of_communication","link","title"
"Sodium chlorite is a chemical used mainly as a textile bleaching agent and disinfectant, and is authorized in Canada as a germicide for veterinary use and as a hard surface disinfectant. Ingesting sodium chlorite can cause poisoning, kidney failure and harm to red blood cells. This in turn reduces the...","
                                        2017-08-04                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/64186a-eng.php","Unauthorized product """"Aerobic Oxygen"""" sold by online retailer """"Good For You"""" may pose serious health risks"
"Selekta Pregnenolone (2017-08-01)   Product sold without market authorization. Product labelled to contain pregnenolone, an ingredient listed on the prescription drug list.  Distributed to Naturopathic clinics, chiropractic, wellness clinics, and health products retailers across Canada    Selekta Pregnenolone...","
									2017-08-01								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/64106r-eng.php","Selekta Pregnenolone (2017-08-01)"
"Pregnenolone is a prescription drug that should only be used under the supervision of a healthcare professional. Pregnenolone can cause higher than normal levels of female and male hormones in the body and could increase the risk of prostate, breast, ovarian and other hormone-sensitive cancers. Pregnenolone...","
                                        2017-07-28                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/64080a-eng.php","Unauthorized prescription drug """"Selekta Pregnenolone"""" sold online by A.N. Tyler Distributing may pose serious health risks"
"Hydromorphone Hydrochloride Injection USP HP 10 (2017-07-26)   Affected lot contaminated with silicone particulate  Wholesalers and hospitals across Canada    Hydromorphone Hydrochloride Injection USP HP 10 DIN 02382636 Solution 10 mg/mL...","
									2017-07-26								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/64096r-eng.php","Hydromorphone Hydrochloride Injection USP HP 10 (2017-07-26)"
"When combined, synephrine and caffeine can cause serious and possibly fatal adverse effects. Synephrine taken in combination with caffeine can cause side effects ranging from dizziness, tremors, headaches and irregularities in heart rate to seizures, psychosis, heart attacks and stroke.  Stop using this...","
                                        2017-07-14                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63962a-eng.php","Unauthorized natural health product promoted as a workout supplement, “Fluffy Unicorn” seized from Shop Santé Laval in Quebec"
"Codeine Contin 50mg Controlled Release Tab (2017-07-10)   The dissolution is out of specification in the affected lots.  Wholesalers throughout Canada    Codeine Contin 50mg Controlled Release Tab DIN 02230302 Tablet 50 mg...","
									2017-07-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63942r-eng.php","Codeine Contin 50mg Controlled Release Tab (2017-07-10)"
"Bayer Inc. has advised that the issue is associated with a packaging process specific to the RestoraLAX® 45+10 Value Packs and the RestoraLAX 30+7 Bonus Packs, and that no other RestoraLAX packaging formats are impacted or being recalled at this time.  Stop using this product. Seek immediate medical...","
                                        2017-07-08                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63908a-eng.php","Bayer expands recall of RestoraLAX, sold nationwide, due to potential choking hazard"
"RestoraLAX 30 + 7 Bonus Pack (2017-07-07)   The affected lots may contain deposits such as clumps or lumps.  Wholesalers and Retailers across Canada: BC, ON, AB, MB, NB, QC, SK    RestoraLAX 30 + 7 Bonus Pack DIN 02318164 Powder for oral solution Not Applicable...","
									2017-07-07								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63922r-eng.php","RestoraLAX 30 + 7 Bonus Pack (2017-07-07)"
"Yohimbine is a prescription drug and should be used only under the supervision of a health care professional. Yohimbine is derived from yohimbe, a bark extract. The use of yohimbine or yohimbe may result in serious adverse reactions, particularly in people with high blood pressure, or heart, kidney...","
                                        2017-07-07                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/63904a-eng.php","Unauthorized sexual enhancement product """"Black Mamba Premium"""" seized from JJ Smoke Centre in North York"
"Draximage Sodium Iodide I 131 Solution USP (2017-07-06)   Affected lots are labelled with an incorrect expiry date.  Radiopharmacies/Hospitals/Healthcare Centers in Nova Scotia, Ontario, Saskatchewan, British Colombia and Newfoundland.    Draximage Sodium Iodide I 131 Solution USP No market authorization...","
									2017-07-06								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2017/64036r-eng.php","Draximage Sodium Iodide I 131 Solution USP (2017-07-06)"
