drug_code,drug_identification_number,brand_name,number_of_ais,ingredient,strength,strength_unit,current_status_flag,status,history_date,company_name,country,Indication,ATC
93758,2451336,IDELVION,1,ALBUTREPENONACOG ALFA,250,UNIT,Y,APPROVED,2016-01-26,CSL BEHRING CANADA INC,CANADA,Hemophilia B,BLOOD AND BLOOD FORMING ORGANS(B)
94518,2458136,ALECENSARO,1,ALECTINIB ,150,MG,N,APPROVED,2016-09-29,HOFFMANN-LA ROCHE LIMITED,CANADA,Lung cancer,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94518,2458136,ALECENSARO,1,ALECTINIB ,150,MG,Y,MARKETED,2016-10-14,HOFFMANN-LA ROCHE LIMITED,CANADA,Lung cancer,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94029,2453754,PRALUENT,1,ALIROCUMAB,75,MG,N,APPROVED,2016-04-11,SANOFI-AVENTIS CANADA INC,CANADA,Primary Hyperlipidemia,CARDIOVASCULAR SYSTEM(C)
94037,2453835,PRALUENT,1,ALIROCUMAB,150,MG,Y,MARKETED,2016-04-29,SANOFI-AVENTIS CANADA INC,CANADA,Primary Hyperlipidemia,CARDIOVASCULAR SYSTEM(C)
94619,2459035,ADYNOVATE,1,ANTIHEMOPHILIC FACTOR ,250,UNIT,Y,APPROVED,2016-11-17,BAXALTA CANADA CORPORATION,CANADA,Hemophilia A,BLOOD AND BLOOD FORMING ORGANS(B)
93867,2452294,SUNVEPRA,1,ASUNAPREVIR,100,MG,N,APPROVED,2016-03-09,BRISTOL-MYERS SQUIBB CANADA,CANADA,Hepatitis C,ANTIINFECTIVES FOR SYSTEMIC USE(J)
93867,2452294,SUNVEPRA,1,ASUNAPREVIR,100,MG,Y,MARKETED,2016-04-22,BRISTOL-MYERS SQUIBB CANADA,CANADA,Hepatitis C,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94066,2454130,BLEXTEN,1,Bilastine,20,MG,N,APPROVED,2016-04-21,ARALEZ PHARMACEUTICALS TRADING DAC,IRELAND,Rhinitis,RESPIRATORY SYSTEM(R)
94066,2454130,BLEXTEN,1,Bilastine,20,MG,Y,MARKETED,2016-12-02,ARALEZ PHARMACEUTICALS TRADING DAC,IRELAND,Rhinitis,RESPIRATORY SYSTEM(R)
94692,2459612,BAT,7,BOTULINUM ANTITOXIN SEROTYPE A,4500,UNIT,N,APPROVED,2016-12-08,EMERGENT BIOSOLUTIONS CANADA INC,CANADA,Botulism,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94692,2459612,BAT,7,BOTULINUM ANTITOXIN SEROTYPE B,3300,UNIT,N,APPROVED,2016-12-08,EMERGENT BIOSOLUTIONS CANADA INC,CANADA,Botulism,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94692,2459612,BAT,7,BOTULINUM ANTITOXIN SEROTYPE C,3000,UNIT,N,APPROVED,2016-12-08,EMERGENT BIOSOLUTIONS CANADA INC,CANADA,Botulism,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94692,2459612,BAT,7,BOTULINUM ANTITOXIN SEROTYPE D,600,UNIT,N,APPROVED,2016-12-08,EMERGENT BIOSOLUTIONS CANADA INC,CANADA,Botulism,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94692,2459612,BAT,7,BOTULINUM ANTITOXIN SEROTYPE E,5100,UNIT,N,APPROVED,2016-12-08,EMERGENT BIOSOLUTIONS CANADA INC,CANADA,Botulism,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94692,2459612,BAT,7,BOTULINUM ANTITOXIN SEROTYPE F,3000,UNIT,N,APPROVED,2016-12-08,EMERGENT BIOSOLUTIONS CANADA INC,CANADA,Botulism,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94692,2459612,BAT,7,BOTULINUM ANTITOXIN SEROTYPE G,600,UNIT,N,APPROVED,2016-12-08,EMERGENT BIOSOLUTIONS CANADA INC,CANADA,Botulism,ANTIINFECTIVES FOR SYSTEMIC USE(J)
93933,2452936,BRIVLERA,1,BRIVARACETAM,10,MG,N,APPROVED,2016-03-09,UCB CANADA INC,CANADA,Seizure,NERVOUS SYSTEM(N)
93933,2452936,BRIVLERA,1,BRIVARACETAM,10,MG,Y,MARKETED,2016-05-02,UCB CANADA INC,CANADA,Seizure,NERVOUS SYSTEM(N)
93728,2451034,KYPROLIS,1,CARFILZOMIB,60,MG,N,APPROVED,2016-01-15,AMGEN CANADA INC,CANADA,Relapsed or Refractory Multiple Myeloma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
93728,2451034,KYPROLIS,1,CARFILZOMIB,60,MG,Y,MARKETED,2016-02-11,AMGEN CANADA INC,CANADA,Relapsed or Refractory Multiple Myeloma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
93872,2452340,COTELLIC,1,COBIMETINIB ,20,MG,N,APPROVED,2016-02-22,HOFFMANN-LA ROCHE LIMITED,CANADA,Metastatic melanoma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
93872,2452340,COTELLIC,1,COBIMETINIB ,20,MG,Y,MARKETED,2016-04-06,HOFFMANN-LA ROCHE LIMITED,CANADA,Metastatic melanoma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94693,2459620,ZINBRYTA,1,DACLIZUMAB BETA,150,MG,N,APPROVED,2016-12-08,BIOGEN CANADA INC,CANADA,Multiple myeloma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94282,2455951,DARZALEX,1,DARATUMUMAB,100,MG,N,APPROVED,2016-06-29,JANSSEN INC,CANADA,Multiple myeloma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94282,2455951,DARZALEX,1,DARATUMUMAB,100,MG,Y,MARKETED,2016-07-12,JANSSEN INC,CANADA,Multiple myeloma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
94579,2458640,LIXIANA,1,EDOXABAN ,15,MG,N,APPROVED,2016-11-04,SERVIER CANADA INC,CANADA,Systemic embolism,BLOOD AND BLOOD FORMING ORGANS(B)
93740,2451131,ZEPATIER,2,ELBASVIR,50,MG,N,APPROVED,2016-01-19,MERCK CANADA INC,CANADA,Hepatitis C,ANTIINFECTIVES FOR SYSTEMIC USE(J)
93740,2451131,ZEPATIER,2,ELBASVIR,50,MG,Y,MARKETED,2016-01-25,MERCK CANADA INC,CANADA,Hepatitis C,ANTIINFECTIVES FOR SYSTEMIC USE(J)
94278,2455919,EMPLICITI,1,ELOTUZUMAB,440,MG,Y,APPROVED,2016-06-21,BRISTOL-MYERS SQUIBB CANADA,CANADA,Multiple myeloma,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS(L)
93931,2452928,XTORO,1,FINAFLOXACIN,0.3,%,Y,APPROVED,2016-03-11,ALCON CANADA INC,CANADA,Acute otitis externa,Not classified
94652,2459329,DOTAREM,1,GADOTERATE MEGLUMINE,376.9,MG,Y,APPROVED,2016-11-25,GUERBET,FRANCE,MRI contrast,VARIOUS(V)
93983,2453304,RAVICTI,1,GLYCEROL PHENYLBUTYRATE,1.1,G,N,APPROVED,2016-03-18,HORIZON PHARMA IRELAND LTD,IRELAND,Urea cycle disorders ,ALIMENTARY TRACT AND METABOLISM(A)
93983,2453304,RAVICTI,1,GLYCEROL PHENYLBUTYRATE,1.1,G,Y,MARKETED,2016-11-03,HORIZON PHARMA IRELAND LTD,IRELAND,Urea cycle disorders ,ALIMENTARY TRACT AND METABOLISM(A)
93740,2451131,ZEPATIER,2,GRAZOPREVIR,100,MG,N,APPROVED,2016-01-19,MERCK CANADA INC,CANADA,Hepatitis C,ANTIINFECTIVES FOR SYSTEMIC USE(J)
93740,2451131,ZEPATIER,2,GRAZOPREVIR,100,MG,Y,MARKETED,2016-01-25,MERCK CANADA INC,CANADA,Hepatitis C,ANTIINFECTIVES FOR SYSTEMIC USE(J)
