"control_number","date_decision","decision","drug_name","link_id","manufacturer","medical_ingredient","type_submission"
"179333","2015-10-14","Approved","Amitiza","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00001","Sucampo Pharma Americas LLC","lubiprostone","New Drug Submission (New Active Substance)"
"178110","2015-09-16","Approved","Abilify Maintena","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00002","Otsuka Pharmaceutical Co Ltd","aripiprazole","Supplement to a New Drug Submission"
"180556","2015-11-05","Approved","Humira","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00004","AbbVie Corporation","adalimumab","Supplemental New Drug Submission"
"176895","2015-07-14","Approved","Vibativ","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00005","Pendopharm Division of Pharmascience Inc","telavancin hydrochloride","Supplement to a New Drug Submission"
"177319","2015-09-21","Approved","Arnuity Ellipta","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00006","Glaxosmithkline Inc","fluticasone furoate","New Drug Submission"
"171255","2015-09-28","Approved","Avastin","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00007","Hoffmann-La Roche Limited","Bevacizumab","SNDS"
"170054","2015-05-15","Approved","Avastin","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00008","Hoffmann-La Roche Limited","Bevacizumab","Supplement to a New Drug Submission"
"177405","2015-09-01","Approved","Basaglar","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00009","Eli Lilly Canada Inc","insulin glargine","New Drug Submission (NDS)"
"181723","2015-12-22","Approved","Blincyto","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00010","Amgen Canada Inc.","blinatumomab","New Drug Submission"
"177501","2015-08-05","Approved","Breo Ellipta","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detail.php?lang=en&linkID=RDS00011","GlaxoSmithKline Inc","fluticasone furoate, vilanterol trifenatate","Supplement to a New Drug Submission"
